start_osm_way_id,end_osm_way_id,t_type
50473175,50473175,0
50473175,6053455,2
6057085,50473176,3
6057085,130908030,0
6057382,50506641,2
6057382,121980305,1
50473175,50464889,0
50473175,6063316,4
6053455,6063316,1
50464889,131052339,3
50464889,58681089,0
6063316,6063316,0
130908291,345633935,0
130908291,345633936,3
321477125,321477125,0
296775851,6056201,1
121980283,121980287,0
229105896,6057902,2
229105896,229105896,0
6051389,229105896,2
131240439,229105896,4
131240439,131240439,0
131052528,131052528,0
131052528,203022890,3
6055156,382529648,7
6055156,131240428,0
6051485,6051485,1
6051485,234706405,4
6051497,6051497,1
6051497,6051509,6
50507958,6051509,5
50507958,50507959,0
193002132,6053854,7
193002132,193002132,0
6051497,6058982,6
6051497,50507957,2
6051509,193002132,7
6051509,6051509,1
6051509,6051497,4
6051509,6051509,1
50507959,50507959,0
193002132,6051497,6
193002132,50507958,7
193002132,193002132,0
6051509,6058982,1
6058982,130908172,7
6058982,6058982,0
6057626,6055551,1
50513891,50513891,0
288338891,345632497,2
50506190,50506190,1
50473277,50506638,1
6051630,130808338,0
6051630,6062650,3
50519365,6053651,3
50519365,50519365,0
130808338,130285130,3
130808338,130808338,0
6062650,6062650,0
6062650,130285130,2
382529648,56226936,3
382529648,382529648,0
6051767,6054902,0
50511176,6062969,5
50511176,50511362,0
6059268,6062969,7
296384738,296384738,0
296384738,6057751,3
6051771,117251331,7
6056239,6056239,0
6056366,131463018,3
6056366,6056366,0
130908289,50428539,7
130908289,130908289,0
50511362,6056239,7
6051910,297237152,3
6051910,6054568,0
121980283,121980283,0
298637131,298637131,0
385163475,203022890,7
385163475,385163475,0
385163479,130889741,1
119971773,119971773,0
119971773,264250026,7
50511181,50511181,0
50511181,296334912,2
6053093,296951208,2
6056201,121980261,0
121980338,6056201,1
121980321,121980338,1
121980319,121980319,1
121980319,295725702,3
296606844,121980319,1
296606844,121980338,1
346876687,131448538,0
346876690,346876694,0
6054575,257319363,1
6054575,50513900,7
50511272,50511273,1
35600668,50432623,1
50432623,203023776,7
50432623,203023775,0
6052328,296901762,1
130889740,382529648,3
130889740,130889739,0
50710189,50710189,0
50710189,112601548,7
6052344,362659444,1
6059311,6059311,13
6060937,6060937,0
296591633,296591633,0
6052416,45838764,2
45838764,45838764,0
6052418,130908169,1
131233773,50511187,3
131233773,131233773,0
6055384,6055384,0
6055384,6055234,4
6055384,6055517,8
6052473,130788153,5
130788132,130788132,0
130772943,50428539,4
130772943,130772943,0
6052475,50428539,2
132577682,132577682,0
6054345,6061085,3
278159516,6061639,3
6276737,6276737,0
6276737,51376970,2
6061305,6061305,0
6061305,6057450,7
6061205,6061205,0
6061205,274368987,3
6052634,6061205,8
296348848,296345143,6
296348848,296348848,0
130908169,130908169,0
